date_id,date,day,month,year,quarter
1,2024-01-01,1,1,2024,1
2,2024-01-02,2,1,2024,1
3,2024-01-03,3,1,2024,1
4,2024-01-04,4,1,2024,1
5,2024-01-05,5,1,2024,1
6,2024-01-06,6,1,2024,1
7,2024-01-07,7,1,2024,1
8,2024-01-08,8,1,2024,1
9,2024-01-09,9,1,2024,1
10,2024-01-10,10,1,2024,1
11,2024-01-11,11,1,2024,1
12,2024-01-12,12,1,2024,1
13,2024-01-13,13,1,2024,1
14,2024-01-14,14,1,2024,1
15,2024-01-15,15,1,2024,1
16,2024-01-16,16,1,2024,1
17,2024-01-17,17,1,2024,1
18,2024-01-18,18,1,2024,1
19,2024-01-19,19,1,2024,1
20,2024-01-20,20,1,2024,1
21,2024-01-21,21,1,2024,1
22,2024-01-22,22,1,2024,1
23,2024-01-23,23,1,2024,1
24,2024-01-24,24,1,2024,1
25,2024-01-25,25,1,2024,1
26,2024-01-26,26,1,2024,1
27,2024-01-27,27,1,2024,1
28,2024-01-28,28,1,2024,1
29,2024-01-29,29,1,2024,1
30,2024-01-30,30,1,2024,1
31,2024-01-31,31,1,2024,1
32,2024-02-01,1,2,2024,1
33,2024-02-02,2,2,2024,1
34,2024-02-03,3,2,2024,1
35,2024-02-04,4,2,2024,1
36,2024-02-05,5,2,2024,1
37,2024-02-06,6,2,2024,1
38,2024-02-07,7,2,2024,1
39,2024-02-08,8,2,2024,1
40,2024-02-09,9,2,2024,1
41,2024-02-10,10,2,2024,1
42,2024-02-11,11,2,2024,1
43,2024-02-12,12,2,2024,1
44,2024-02-13,13,2,2024,1
45,2024-02-14,14,2,2024,1
46,2024-02-15,15,2,2024,1
47,2024-02-16,16,2,2024,1
48,2024-02-17,17,2,2024,1
49,2024-02-18,18,2,2024,1
50,2024-02-19,19,2,2024,1
51,2024-02-20,20,2,2024,1
52,2024-02-21,21,2,2024,1
53,2024-02-22,22,2,2024,1
54,2024-02-23,23,2,2024,1
55,2024-02-24,24,2,2024,1
56,2024-02-25,25,2,2024,1
57,2024-02-26,26,2,2024,1
58,2024-02-27,27,2,2024,1
59,2024-02-28,28,2,2024,1
60,2024-02-29,29,2,2024,1
61,2024-03-01,1,3,2024,1
62,2024-03-02,2,3,2024,1
63,2024-03-03,3,3,2024,1
64,2024-03-04,4,3,2024,1
65,2024-03-05,5,3,2024,1
66,2024-03-06,6,3,2024,1
67,2024-03-07,7,3,2024,1
68,2024-03-08,8,3,2024,1
69,2024-03-09,9,3,2024,1
70,2024-03-10,10,3,2024,1
71,2024-03-11,11,3,2024,1
72,2024-03-12,12,3,2024,1
73,2024-03-13,13,3,2024,1
74,2024-03-14,14,3,2024,1
75,2024-03-15,15,3,2024,1
76,2024-03-16,16,3,2024,1
77,2024-03-17,17,3,2024,1
78,2024-03-18,18,3,2024,1
79,2024-03-19,19,3,2024,1
80,2024-03-20,20,3,2024,1
81,2024-03-21,21,3,2024,1
82,2024-03-22,22,3,2024,1
83,2024-03-23,23,3,2024,1
84,2024-03-24,24,3,2024,1
85,2024-03-25,25,3,2024,1
86,2024-03-26,26,3,2024,1
87,2024-03-27,27,3,2024,1
88,2024-03-28,28,3,2024,1
89,2024-03-29,29,3,2024,1
90,2024-03-30,30,3,2024,1
91,2024-03-31,31,3,2024,1
92,2024-04-01,1,4,2024,2
93,2024-04-02,2,4,2024,2
94,2024-04-03,3,4,2024,2
95,2024-04-04,4,4,2024,2
96,2024-04-05,5,4,2024,2
97,2024-04-06,6,4,2024,2
98,2024-04-07,7,4,2024,2
99,2024-04-08,8,4,2024,2
100,2024-04-09,9,4,2024,2
101,2024-04-10,10,4,2024,2
102,2024-04-11,11,4,2024,2
103,2024-04-12,12,4,2024,2
104,2024-04-13,13,4,2024,2
105,2024-04-14,14,4,2024,2
106,2024-04-15,15,4,2024,2
107,2024-04-16,16,4,2024,2
108,2024-04-17,17,4,2024,2
109,2024-04-18,18,4,2024,2
110,2024-04-19,19,4,2024,2
111,2024-04-20,20,4,2024,2
112,2024-04-21,21,4,2024,2
113,2024-04-22,22,4,2024,2
114,2024-04-23,23,4,2024,2
115,2024-04-24,24,4,2024,2
116,2024-04-25,25,4,2024,2
117,2024-04-26,26,4,2024,2
118,2024-04-27,27,4,2024,2
119,2024-04-28,28,4,2024,2
120,2024-04-29,29,4,2024,2
121,2024-04-30,30,4,2024,2
122,2024-05-01,1,5,2024,2
123,2024-05-02,2,5,2024,2
124,2024-05-03,3,5,2024,2
125,2024-05-04,4,5,2024,2
126,2024-05-05,5,5,2024,2
127,2024-05-06,6,5,2024,2
128,2024-05-07,7,5,2024,2
129,2024-05-08,8,5,2024,2
130,2024-05-09,9,5,2024,2
131,2024-05-10,10,5,2024,2
132,2024-05-11,11,5,2024,2
133,2024-05-12,12,5,2024,2
134,2024-05-13,13,5,2024,2
135,2024-05-14,14,5,2024,2
136,2024-05-15,15,5,2024,2
137,2024-05-16,16,5,2024,2
138,2024-05-17,17,5,2024,2
139,2024-05-18,18,5,2024,2
140,2024-05-19,19,5,2024,2
141,2024-05-20,20,5,2024,2
142,2024-05-21,21,5,2024,2
143,2024-05-22,22,5,2024,2
144,2024-05-23,23,5,2024,2
145,2024-05-24,24,5,2024,2
146,2024-05-25,25,5,2024,2
147,2024-05-26,26,5,2024,2
148,2024-05-27,27,5,2024,2
149,2024-05-28,28,5,2024,2
150,2024-05-29,29,5,2024,2
151,2024-05-30,30,5,2024,2
152,2024-05-31,31,5,2024,2
153,2024-06-01,1,6,2024,2
154,2024-06-02,2,6,2024,2
155,2024-06-03,3,6,2024,2
156,2024-06-04,4,6,2024,2
157,2024-06-05,5,6,2024,2
158,2024-06-06,6,6,2024,2
159,2024-06-07,7,6,2024,2
160,2024-06-08,8,6,2024,2
161,2024-06-09,9,6,2024,2
162,2024-06-10,10,6,2024,2
163,2024-06-11,11,6,2024,2
164,2024-06-12,12,6,2024,2
165,2024-06-13,13,6,2024,2
166,2024-06-14,14,6,2024,2
167,2024-06-15,15,6,2024,2
168,2024-06-16,16,6,2024,2
169,2024-06-17,17,6,2024,2
170,2024-06-18,18,6,2024,2
171,2024-06-19,19,6,2024,2
172,2024-06-20,20,6,2024,2
173,2024-06-21,21,6,2024,2
174,2024-06-22,22,6,2024,2
175,2024-06-23,23,6,2024,2
176,2024-06-24,24,6,2024,2
177,2024-06-25,25,6,2024,2
178,2024-06-26,26,6,2024,2
179,2024-06-27,27,6,2024,2
180,2024-06-28,28,6,2024,2
181,2024-06-29,29,6,2024,2
182,2024-06-30,30,6,2024,2
183,2024-07-01,1,7,2024,3
184,2024-07-02,2,7,2024,3
185,2024-07-03,3,7,2024,3
186,2024-07-04,4,7,2024,3
187,2024-07-05,5,7,2024,3
188,2024-07-06,6,7,2024,3
189,2024-07-07,7,7,2024,3
190,2024-07-08,8,7,2024,3
191,2024-07-09,9,7,2024,3
192,2024-07-10,10,7,2024,3
193,2024-07-11,11,7,2024,3
194,2024-07-12,12,7,2024,3
195,2024-07-13,13,7,2024,3
196,2024-07-14,14,7,2024,3
197,2024-07-15,15,7,2024,3
198,2024-07-16,16,7,2024,3
199,2024-07-17,17,7,2024,3
200,2024-07-18,18,7,2024,3
201,2024-07-19,19,7,2024,3
202,2024-07-20,20,7,2024,3
203,2024-07-21,21,7,2024,3
204,2024-07-22,22,7,2024,3
205,2024-07-23,23,7,2024,3
206,2024-07-24,24,7,2024,3
207,2024-07-25,25,7,2024,3
208,2024-07-26,26,7,2024,3
209,2024-07-27,27,7,2024,3
210,2024-07-28,28,7,2024,3
211,2024-07-29,29,7,2024,3
212,2024-07-30,30,7,2024,3
213,2024-07-31,31,7,2024,3
214,2024-08-01,1,8,2024,3
215,2024-08-02,2,8,2024,3
216,2024-08-03,3,8,2024,3
217,2024-08-04,4,8,2024,3
218,2024-08-05,5,8,2024,3
219,2024-08-06,6,8,2024,3
220,2024-08-07,7,8,2024,3
221,2024-08-08,8,8,2024,3
222,2024-08-09,9,8,2024,3
223,2024-08-10,10,8,2024,3
224,2024-08-11,11,8,2024,3
225,2024-08-12,12,8,2024,3
226,2024-08-13,13,8,2024,3
227,2024-08-14,14,8,2024,3
228,2024-08-15,15,8,2024,3
229,2024-08-16,16,8,2024,3
230,2024-08-17,17,8,2024,3
231,2024-08-18,18,8,2024,3
232,2024-08-19,19,8,2024,3
233,2024-08-20,20,8,2024,3
234,2024-08-21,21,8,2024,3
235,2024-08-22,22,8,2024,3
236,2024-08-23,23,8,2024,3
237,2024-08-24,24,8,2024,3
238,2024-08-25,25,8,2024,3
239,2024-08-26,26,8,2024,3
240,2024-08-27,27,8,2024,3
241,2024-08-28,28,8,2024,3
242,2024-08-29,29,8,2024,3
243,2024-08-30,30,8,2024,3
